Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
3840.0,-0.728,0.082,-0.45,-55.182,111.821,67.363,-1.025,0.204,0.085,4.975,-6.81,-0.669,-0.967,-0.071,0.277,-11.946,-38.025,5.69,-0.951,-0.176,-0.122,-15.301,33.142,-20.711
3860.0,-0.726,0.083,-0.457,-51.971,106.14,67.505,-0.998,0.16,0.093,-1.359,-9.148,-0.579,-0.857,-0.136,0.291,1.865,-19.598,6.708,-0.839,-0.254,-0.124,-1.407,22.763,-16.403
3880.0,-0.705,0.092,-0.585,-46.915,100.213,67.13,-0.937,0.004,0.12,12.043,-0.117,-5.271,-0.954,-0.113,0.209,13.528,-9.627,7.348,-0.816,-0.145,-0.105,3.234,28.93,-13.838
3900.0,-0.672,0.127,-0.604,-47.83,113.43,66.129,-1.029,0.008,0.117,29.182,3.542,-4.998,-1.045,0.016,0.154,9.177,-12.168,6.238,-0.892,-0.05,-0.139,-6.339,26.996,-13.045
3920.0,-0.638,0.141,-0.506,-47.356,127.463,64.187,-0.994,0.23,0.079,31.093,8.586,-2.478,-1.063,0.067,0.243,-6.122,-25.689,11.637,-1.001,-0.093,-0.173,-20.794,15.426,-10.516
3940.0,-0.568,0.141,-0.515,-38.587,123.533,62.386,-0.973,0.293,0.062,9.732,9.928,-7.748,-0.894,-0.078,0.315,-15.68,-21.7,12.11,-1.021,-0.262,-0.204,-20.263,7.332,-4.096
3960.0,-0.492,0.152,-0.705,-35.674,117.908,57.598,-1.022,0.108,0.084,1.627,9.017,-10.809,-0.885,-0.122,0.295,3.327,-8.936,5.003,-0.999,-0.169,-0.142,-18.241,8.22,-0.038
3980.0,-0.456,0.22,-0.837,-39.855,129.289,51.601,-1.022,0.032,0.067,6.952,7.718,-6.806,-0.969,-0.095,0.275,13.363,-8.667,4.377,-1.01,-0.119,-0.119,-35.382,17.767,3.473
4000.0,-0.456,0.299,-0.841,-41.414,143.616,48.962,-1.004,0.153,0.025,15.852,9.859,-4.488,-0.966,-0.048,0.196,20.16,-7.109,3.108,-1.106,-0.21,-0.166,-38.343,19.387,6.141
4020.0,-0.465,0.31,-0.666,-35.807,142.769,49.083,-1.017,0.202,0.033,8.468,7.904,-7.656,-1.013,0.042,0.199,17.067,-5.374,3.624,-1.166,-0.344,-0.2,-17.314,8.278,9.343
4040.0,-0.434,0.272,-0.65,-28.621,126.749,47.047,-1.022,0.105,0.037,4.051,6.585,-7.897,-1.013,0.084,0.235,-5.428,-9.9,6.395,-1.161,-0.32,-0.135,7.376,8.088,12.444
4060.0,-0.36,0.291,-0.918,-25.48,124.95,42.7,-1.04,0.047,0.054,0.327,0.974,-5.103,-0.923,0.042,0.28,-10.956,-7.587,3.305,-1.191,-0.25,-0.066,8.558,12.691,14.634
4080.0,-0.344,0.418,-0.982,-24.815,131.444,40.272,-1.017,0.062,0.021,8.706,0.92,-1.89,-0.918,-0.043,0.26,-7.262,1.188,-2.333,-1.188,-0.161,-0.055,-7.432,14.439,15.64
4100.0,-0.385,0.475,-0.87,-20.358,127.8,38.207,-1.035,0.084,0.043,7.078,-0.954,-1.689,-1.013,-0.045,0.271,2.145,-2.013,-2.272,-1.233,-0.196,-0.094,-27.043,16.088,15.513
4120.0,-0.358,0.504,-0.881,-16.666,116.635,34.968,-1.026,0.125,0.043,3.709,-2.313,-2.119,-0.974,-0.051,0.278,3.872,-0.368,-0.301,-1.349,-0.309,-0.2,-25.661,-4.402,14.049
4140.0,-0.283,0.454,-1.019,-15.82,111.86,31.15,-1.006,0.07,0.042,3.556,-2.493,-1.76,-0.945,-0.035,0.264,4.858,3.088,0.072,-1.357,-0.31,-0.197,-14.845,-15.926,12.35
