Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
1580.0,-0.96,0.039,0.343,2.097,-5.689,-0.358,-0.995,0.158,-0.117,0.344,-1.775,2.021,-0.935,0.173,0.309,54.961,-13.326,10.617
1600.0,-0.967,0.039,0.356,1.931,-6.113,-0.409,-0.993,0.162,-0.116,0.146,-1.655,2.03,-0.961,0.215,0.33,64.11,-14.514,12.302
1620.0,-0.979,0.038,0.355,1.518,-7.489,-0.472,-0.993,0.161,-0.116,0.124,-1.693,2.127,-0.974,0.272,0.478,75.778,-19.001,16.271
1640.0,-0.975,0.031,0.339,1.402,-8.709,-0.688,-0.996,0.161,-0.116,0.36,-2.01,2.324,-0.962,0.359,0.597,78.041,-35.484,22.364
1660.0,-0.969,0.037,0.333,1.734,-8.168,-0.375,-0.996,0.164,-0.115,0.013,-2.026,2.304,-1.033,0.357,0.667,86.744,-49.461,29.004
1680.0,-0.963,0.035,0.336,-0.726,-6.74,0.061,-0.993,0.163,-0.114,-0.454,-1.578,2.363,-1.065,0.426,0.747,95.863,-57.236,37.806
1700.0,-0.95,0.038,0.335,-2.862,-4.483,0.004,-0.994,0.164,-0.114,-0.691,-1.499,2.51,-1.087,0.499,0.736,106.046,-79.597,49.717
1720.0,-0.951,0.031,0.337,-0.485,-2.734,0.029,-0.998,0.169,-0.118,-1.4,-1.671,2.334,-1.068,0.546,0.741,104.47,-95.528,56.634
1740.0,-0.971,0.023,0.328,2.942,-3.406,0.067,-0.99,0.163,-0.12,-1.398,-1.47,2.192,-1.08,0.603,0.878,90.323,-115.917,65.106
1760.0,-0.977,0.052,0.324,1.93,-4.216,-0.184,-0.996,0.162,-0.117,-0.745,-1.628,2.872,-1.109,0.584,0.941,79.059,-126.738,74.115
1780.0,-0.977,0.062,0.362,1.0,-3.244,-0.637,-0.996,0.162,-0.116,-0.725,-1.872,3.231,-1.213,0.639,0.975,85.011,-146.56,97.031
1800.0,-0.982,0.053,0.375,0.557,-3.248,-1.48,-0.991,0.167,-0.12,-1.584,-1.526,3.189,-1.146,0.697,0.923,91.848,-157.912,119.813
1820.0,-0.99,0.043,0.364,0.115,-6.437,-1.917,-0.994,0.163,-0.122,-1.674,-2.208,3.707,-1.105,0.761,0.993,97.067,-163.433,142.617
1840.0,-0.983,0.05,0.349,-1.061,-8.73,-1.827,-0.999,0.164,-0.121,-0.643,-2.909,3.85,-1.11,0.923,1.024,73.348,-176.307,154.985
1860.0,-0.955,0.057,0.336,-3.037,-8.17,-1.738,-0.989,0.168,-0.117,-0.284,-2.874,3.841,-1.204,1.031,1.083,21.836,-202.163,159.929
1880.0,-0.949,0.053,0.371,-1.538,-6.954,-2.59,-0.992,0.173,-0.119,-1.125,-2.332,3.676,-1.203,0.969,0.984,0.235,-217.912,158.04
1900.0,-0.954,0.041,0.38,0.768,-10.079,-2.584,-0.996,0.176,-0.119,-1.383,-2.52,3.411,-1.176,1.002,0.79,-28.554,-222.21,161.305
1920.0,-0.942,0.007,0.364,2.882,-11.226,-2.269,-0.988,0.177,-0.116,-1.504,-2.513,3.01,-1.155,0.97,0.785,-35.344,-232.787,165.297
1940.0,-0.943,0.016,0.356,5.63,-7.411,-1.965,-0.993,0.172,-0.118,-0.957,-2.498,2.999,-1.08,0.901,0.899,-31.799,-246.394,163.809
1960.0,-0.978,0.028,0.375,7.778,-5.732,-1.395,-0.997,0.171,-0.12,-0.49,-3.22,2.8,-1.029,0.804,0.863,-15.611,-244.707,162.313
1980.0,-0.963,0.032,0.431,6.837,-3.457,-0.959,-0.998,0.174,-0.12,0.14,-3.43,2.66,-0.975,0.822,0.767,7.216,-251.991,167.943
2000.0,-0.942,0.044,0.444,6.205,-3.269,-0.564,-0.992,0.175,-0.117,0.56,-3.99,2.45,-0.903,1.02,0.599,1.528,-258.693,176.84
2020.0,-0.932,0.051,0.408,4.682,-4.588,-0.082,-0.993,0.172,-0.118,0.301,-3.99,2.45,-0.856,1.039,0.588,-20.198,-260.019,184.618
2040.0,-0.923,0.052,0.389,3.55,-1.944,0.273,-0.993,0.169,-0.118,0.533,-4.304,2.85,-0.794,0.933,0.614,-37.454,-259.535,189.805
2060.0,-0.943,0.042,0.443,1.201,2.581,0.006,-0.993,0.168,-0.119,1.293,-4.34,3.142,-0.655,0.729,0.582,-39.777,-260.536,188.037
2080.0,-0.958,0.069,0.446,-1.767,1.624,1.244,-0.988,0.176,-0.113,0.954,-4.099,3.15,-0.523,0.658,0.432,-25.302,-261.292,184.713
2100.0,-0.94,0.071,0.402,-5.027,2.323,2.658,-0.994,0.179,-0.109,0.297,-4.016,2.96,-0.506,0.758,0.29,-21.327,-253.938,188.641
2120.0,-0.933,0.012,0.426,-3.742,7.232,4.193,-0.993,0.182,-0.11,0.083,-3.886,2.495,-0.501,0.788,0.295,-33.203,-251.114,201.53
2140.0,-0.975,-0.035,0.448,-0.094,9.999,-0.145,-0.987,0.185,-0.11,0.167,-3.555,1.721,-0.447,0.672,0.306,-27.663,-250.029,210.634
2160.0,-0.931,0.023,0.432,2.788,9.246,-3.625,-0.99,0.175,-0.109,-0.293,-2.454,1.18,-0.19,0.439,0.181,10.164,-240.022,212.61
2180.0,-0.954,0.058,0.367,-0.207,9.95,-3.64,-0.995,0.174,-0.11,-0.223,-2.598,1.655,0.022,0.368,0.154,9.126,-202.822,216.123
2200.0,-0.963,0.037,0.389,-6.257,12.723,-4.35,-0.992,0.183,-0.111,-0.227,-2.559,1.422,-0.012,0.397,0.137,5.305,-185.957,221.157
